beeline;b2c;*;beeline.ru;https://;^beeline.ru/customers/products/mobile/tariffs/
beeline;b2b;cellphone;beeline.ru;https://;^beeline.ru/b2b/products/mobile/tariffs/index/cellphone/
beeline;b2b;planshet;beeline.ru;https://;^beeline.ru/b2b/products/mobile/tariffs/index/planshet/
beeline;b2b;modem-i-router;beeline.ru;https://;^beeline.ru/b2b/products/mobile/tariffs/index/modem-i-router/
megafon;b2c;vklyuchaysya;megafon.ru;https://;^megafon.ru/tariffs/vklyuchaysya/
megafon;b2c;dlya_zvonkov;megafon.ru;https://;^megafon.ru/tariffs/dlya_zvonkov/
megafon;b2c;dlya_interneta;megafon.ru;https://;^megafon.ru/tariffs/dlya_interneta/
megafon;b2b;*;megafon.ru;https://;^megafon.ru/corporate/mobile/tariffs/alltariffs/
motiv;b2c;*;motivtelecom.ru;http://;cell.motivtelecom.ru/^/tariffs/b2c
motiv;b2b;*;motivtelecom.ru;http://;cell.motivtelecom.ru/^/b2b
mts;b2c;*;mts.ru;http://;www.^mts.ru/mob_connect/tariffs/tariffs/
mts;b2b;*;mts.ru;http://;www.corp.^mts.ru/mob_connect/tariffs/
tele2;b2c;*;tele2.ru;https://;^tele2.ru//tariffs
tele2;b2b;*;tele2.ru;https://;^tele2.ru/business/mobile/tariffs
yota;b2c;*;yota.ru;https://;www.yota.ru/
yota;b2b;*;yota.ru;https://;www.yota.ru/b2b/
